ארטיקל|גרויס|ערך|גודל
רוי:דיאמעטער|2206|קוטר|1874
רוי:קאמפיוטעריי|1458|מחשוב|2335
רוי:געזעץ|5000|דין|3197
רוי:וועטער|3086|מזג אוויר|3669
רוי:געצייג|1175|כלי|3870
רוי:עלות השחר|1424|עלות השחר|4609
רוי:ארגאניזם|2068|אורגניזם|4888
רוי:קאמפיוטער שפראכן|1955|שפת מחשב|5190
רוי:צענטראל-אמעריקע|2409|אמריקה המרכזית|5283
רוי:מוזיקאלישע טרופע|1122|הרכב מוזיקלי|5401
רוי:פינאנץ|714|מימון|5467
רוי:משגיח|1072|משגיח|6512
רוי:קאמפיוטער פראגראמירן|3158|תכנות מחשבים|6759
רוי:קליידונג|1429|ביגוד|7280
רוי:קרעדיט (פינאנץ)|553|אשראי|7769
רוי:היץ|12344|חום (פיזיקה)|7909
רוי:יאר|2034|שנה|8018
רוי:כעמישער בונד|636|קשר כימי|8185
רוי:ביזנעס|857|עסק|8406
רוי:זען|693|ראייה|8442
רוי:פרום|4262|פרום (יידיש)|8493
רוי:אינטערנעט פראטאקאל|1659|Internet Protocol|8714
רוי:געאמעטריע|19920|גאומטריה|8770
רוי:הארמאן|1948|הורמון|8789
רוי:גראמאטיק|1385|דקדוק|8904
רוי:צאל|7290|מספר|8911
רוי:דרום אמעריקע|16660|אמריקה הדרומית|9079
רוי:עסנווארג|5915|מזון|9300
רוי:רעגירונג|1650|ממשלה|9422
רוי:דעמאגראפיע|2801|דמוגרפיה|9756
רוי:עלעקטראמאגנעטיזם|1883|אלקטרומגנטיות|9779
רוי:טאג|2118|יממה|9815
רוי:שפיאנאזש|1062|ריגול|10159
רוי:טעאריע|838|תאוריה|10834
רוי:סטאטיסטיק|2331|סטטיסטיקה|11166
רוי:פרייצייט|1051|פנאי|11210
רוי:גאלאקסיע|2610|גלקסיה|11644
רוי:World Wide Web|2984|World Wide Web|11701
רוי:בלוט|7183|דם|11900
רוי:קלוגשאפט|1279|חכמה|12179
רוי:מארק|2488|שוק (כלכלה)|12211
רוי:מלחמה|3636|מלחמה|12299
רוי:ליקוי לבנה|2148|ליקוי ירח|12332
רוי:טערמאדינאמיק|1500|תרמודינמיקה|12885
רוי:פערסישע אימפעריע|2739|ממלכת פרס|13546
רוי:בינארישע סיסטעם|2803|בסיס בינארי|13836
רוי:דרוקעריי|2009|דפוס|13901
רוי:פרוכט|3106|פרי|14117
רוי:פענסטער|1179|חלון|14247
רוי:טריגאנאמעטריע|16451|טריגונומטריה|14604
רוי:גענעטיק|1756|גנטיקה|14894
רוי:געאגראפיע|16845|גאוגרפיה|15194
רוי:ליינען|705|קריאה|16558
רוי:פערזענליכקייט-שטערונג|3131|הפרעת אישיות|17341
רוי:ענערגיע|2578|אנרגיה|17362
רוי:כוואליע|546|גל|17741
רוי:פירמע|1258|חברה (תאגיד)|17780
רוי:אלגעברע|18546|אלגברה|17955
רוי:זייערס|3779|חומצה|17956
רוי:טעכנאלאגיע|17436|טכנולוגיה|17994
רוי:מיליטער|1497|צבא|18374
רוי:אפערירן סיסטעם|2250|מערכת הפעלה|18679
רוי:לאנד|4601|ארץ (גאוגרפיה)|19502
רוי:קארפאראציע|533|תאגיד|19579
רוי:טעם|1142|טעם|19643
רוי:מאשין|2654|מכונה|19921
רוי:אטאם|18606|אטום|19960
רוי:DNA|1194|DNA|20131
רוי:באטעריע|2732|סוללה חשמלית|20899
רוי:אימעיל|3815|דואר אלקטרוני|20900
רוי:איי-קיו|581|מנת משכל|21344
רוי:גיך פון ליכט|2215|מהירות האור|21580
רוי:קונסט|2537|אמנות|22313
רוי:פאליטיק|952|פוליטיקה|22386
רוי:קאמפיוטער ווירוס|1320|וירוס מחשב|22870
רוי:האנדל|1091|מסחר|23300
רוי:פארזארג|709|היצע|23511
רוי:פלשתים|1069|פלשתים|23942
רוי:אריסטו|4438|אריסטו|24470
רוי:ביקס|786|רובה|24735
רוי:אימון-סיסטעם|5997|מערכת החיסון|25043
רוי:אנטארקטיקע|1549|אנטארקטיקה|25111
רוי:קאליר|2086|צבע|26841
רוי:אידענטיטעט קארטע|748|תעודת זהות|27183
רוי:בבל|1072|בבל|27961
רוי:זון|18569|השמש|28158
רוי:גראוויטאציע|2519|כבידה|28377
רוי:וויסנשאפט|11515|מדע|29004
רוי:טויט|2762|מוות|29267
רוי:מאנגאלישע אימפעריע|2637|האימפריה המונגולית|29519
רוי:וואלוטע|30550|הכסף בראייה מקרו-כלכלית|29661
רוי:באָרג|1811|הלוואה|30428
רוי:פעריאדישע טאבעלע|17004|הטבלה המחזורית|31004
רוי:פראצעסאר|1832|מעבד|31859
רוי:באוואוסטזיין|550|תודעה|32453
רוי:לאדינא|4885|לאדינו|34018
רוי:אפריקע|30490|אפריקה|35690
רוי:פסיכאלאגיע|1289|פסיכולוגיה|36982
רוי:אריטמעטיק|11564|אריתמטיקה|37014
רוי:ליקוי חמה|3322|ליקוי חמה|37215
רוי:צייט|3150|זמן|37882
רוי:ארכעאלאגיע|977|ארכאולוגיה|38208
רוי:דעמאקראטיע|13629|דמוקרטיה|39874
רוי:אטאמאנישע אימפעריע|19785|האימפריה העות'מאנית|42282
רוי:שפיל טעאריע|1130|תורת המשחקים|42729
רוי:עלעקטריע|5933|חשמל|42831
רוי:גלאבאליזאציע|1325|גלובליזציה|43480
רוי:עקאנאמיק|2751|כלכלה|43615
רוי:יאהאן סעבאסטיאן באך|1574|יוהאן סבסטיאן באך|44224
רוי:סאציאלאגיע|634|סוציולוגיה|46473
רוי:כעמיע|17167|כימיה|46811
רוי:Windows|1131|Microsoft Windows|48338
רוי:קאנסטרוקציע|1308|בנייה|53677
רוי:ביאלאגיע|3883|ביולוגיה|54159
רוי:אינפלאציע|16269|אינפלציה|55264
רוי:וואלפגאנג אמאדעוס מאצארט|2728|וולפגנג אמדאוס מוצרט|57719
