ערך|גרויס|געשאפן
"ב'שי""ד"|534|2017-05-18T19:07:11Z
"ב'תקט""ז"|604|2017-04-02T12:19:24Z
"ב'תת""ע"|646|2017-04-02T12:12:49Z
תנועה קדמית, סגורה, בלתי-מעוגלת|750|2017-06-25T17:57:03Z
תנועה קדמית, פתוחה, בלתי-מעוגלת|916|2017-06-25T17:49:29Z
תנועה אחורית, סגורה, מעוגלת|921|2017-06-25T18:19:35Z
תנועה קדמית, חצי-סגורה, בלתי-מעוגלת|923|2017-06-26T17:30:21Z
פת פורני|1084|2018-09-28T10:27:36Z
תנועה מרכזית, פתוחה, בלתי-מעוגלת|1085|2017-06-26T16:08:27Z
תנועה מרכזית, חצי-פתוחה, מעוגלת|1085|2017-06-27T14:28:33Z
עיצור מכתשי, מקורב|1089|2017-06-29T23:48:05Z
תנועה מרכזית, פתוחה, מעוגלת|1111|2017-06-28T13:52:21Z
תנועה כמעט-קדמית, כמעט-סגורה, בלתי-מעוגלת|1115|2017-06-26T13:22:00Z
תנועה כמעט-אחורית, כמעט-סגורה, מעוגלת|1119|2017-06-26T17:49:31Z
תנועה אחורית, חצי-סגורה, בלתי-מעוגלת|1126|2017-06-27T14:53:55Z
רבה בר תחליפא|1139|2021-05-19T15:30:21Z
תנועה אחורית, פתוחה, בלתי-מעוגלת|1152|2017-06-26T20:19:11Z
תנועה אחורית, סגורה, בלתי-מעוגלת|1168|2017-06-26T21:51:29Z
משקל מרובה|1198|2017-09-27T14:01:32Z
תנועה אחורית, אמצעית, מעוגלת|1199|2017-06-26T11:16:10Z
מונבז (תנא)|1226|2017-12-10T14:20:35Z
רבי ייבא סבא (תנא)|1240|2021-04-07T22:09:24Z
רבי יעקב בן יצחק הלוי|1242|2020-12-06T09:26:22Z
תנועה אחורית, חצי-פתוחה, מעוגלת|1248|2017-06-26T12:47:04Z
תנועה אחורית, חצי-פתוחה, בלתי-מעוגלת|1251|2017-06-26T11:38:36Z
תנועה קדמית, חצי-סגורה, מעוגלת|1256|2017-06-26T18:51:04Z
משקל מרנין|1279|2017-09-27T14:18:03Z
תנועה קדמית, אמצעית, בלתי-מעוגלת|1293|2017-06-25T18:11:52Z
תנועה קדמית, כמעט-פתוחה, בלתי-מעוגלת|1296|2017-06-26T11:27:42Z
תנועה מרכזית, סגורה, מעוגלת|1298|2017-06-28T13:34:28Z
טיוטה:רבי דוד יהודה פריינד|1312|2022-09-12T10:14:15Z
תנועה מרכזית, חצי-פתוחה, בלתי-מעוגלת|1318|2017-06-26T22:17:22Z
תנועה קדמית, סגורה, מעוגלת|1341|2017-06-25T22:53:05Z
תנועה מרכזית, כמעט-פתוחה, בלתי-מעוגלת|1378|2017-06-27T23:06:46Z
רבי אבא בר זוטרא|1399|2022-05-08T10:10:11Z
פתווה|1430|2017-09-09T20:45:52Z
תנועה קדמית, פתוחה, מעוגלת|1448|2017-06-26T21:04:09Z
תנועה כמעט-קדמית, כמעט-סגורה, מעוגלת|1449|2017-06-26T18:13:05Z
הרב אריה זילברשטיין|1466|2020-06-26T08:35:05Z
תנועה אחורית, חצי-סגורה, מעוגלת|1468|2017-06-26T17:37:09Z
תנועה קדמית, חצי-פתוחה, מעוגלת|1477|2017-06-26T13:48:11Z
ארוכי-כנף|1480|2019-12-05T16:01:39Z
אפרים מקשאה|1491|2021-09-03T01:30:08Z
תנועה מרכזית, סגורה, בלתי-מעוגלת|1532|2017-06-28T12:52:10Z
רבי זכריה בן קבוטל|1533|2021-05-09T19:02:14Z
תנועה מרכזית, אמצעית, בלתי-מעוגלת|1543|2017-06-26T13:10:41Z
תנועה אחורית, פתוחה, מעוגלת|1545|2017-06-26T20:34:22Z
איו (אמורא)|1556|2021-05-23T01:03:15Z
רחל בת שמואל|1564|2018-01-14T13:42:43Z
תנועה מרכזית, חצי-סגורה, בלתי-מעוגלת|1634|2017-06-27T15:10:56Z
רב יהודה מדסקרתא|1634|2022-05-05T10:24:03Z
Torah any time|1653|2021-08-16T22:42:23Z
רמי בר שמואל|1666|2020-12-21T10:35:39Z
רב אדא בר מתנה (הראשון)|1687|2022-05-05T14:44:26Z
מעשה או תוצאה|1718|2019-04-07T09:54:03Z
רבי רפאל בנימין חיים מורינו|1739|2020-06-09T09:32:03Z
דרוקרת|1753|2020-12-21T13:12:42Z
תנועה מרכזית, חצי-סגורה, מעוגלת|1777|2017-06-27T15:34:07Z
הדר מילר|1786|2021-12-12T19:35:42Z
ה' מלך (שיר)|1817|2020-12-01T16:18:28Z
נהר אהוא|1822|2017-03-26T12:25:11Z
רב הונא הלוי בר רב יצחק|1822|2021-04-08T16:16:53Z
רבי ראובן (תנא)|1833|2022-05-04T20:21:41Z
רבי יוסף אבן שם טוב|1834|2019-06-26T23:01:05Z
רב הונא בר חלוב|1853|2021-04-14T13:40:56Z
רב נחמן בר כהן|1864|2020-01-21T21:51:22Z
"מדן (אישיות מהתנ""ך)"|1869|2021-01-03T20:04:37Z
רב מנשיא בר תחליפא|1895|2020-09-14T10:00:39Z
ברכת הכרי|1901|2019-12-17T10:57:52Z
"שוח (אישיות מהתנ""ך)"|1903|2021-03-02T22:51:37Z
הון בריה דרב נחמן|1907|2018-04-30T15:33:10Z
רבי אבא סמוקא|1942|2022-05-09T08:47:09Z
רבי פנחס רייזס|1947|2021-02-05T12:24:25Z
מלאכת מגבן|1970|2019-04-04T14:15:42Z
רב חיננא בר אידי|1993|2021-10-05T16:25:10Z
רבי נחום|1996|2021-01-14T16:58:12Z
פרדס שלמה|2029|2021-08-17T14:47:00Z
רבי נחמן דיפו|2042|2022-09-20T15:03:18Z
רב שימי בר חייא|2048|2022-09-21T08:26:28Z
רבי חיים דון יחיא|2049|2021-06-09T16:36:17Z
רב שימי מנהרדעא|2058|2020-12-08T22:04:56Z
רב חנן מנהרדעא|2065|2022-09-20T14:19:39Z
רבי יהודה בן גמדא|2066|2021-10-05T08:07:05Z
רבי חמא בר אבא|2068|2021-04-14T15:18:11Z
מנפרד פון קילינגר|2071|2020-01-22T21:31:11Z
רב דימי בר חיננא (הראשון)|2081|2022-02-20T06:59:37Z
ערוץ 2000|2084|2020-06-10T21:17:04Z
