ארטיקל|גרויס|ערך|גודל
רוי:געזעץ|5000|דין|3197
רוי:אנאטאמיע|1988|אנטומיה|3209
רוי:פרעה|665|פרעה|3584
רוי:געצייג|1175|כלי|3870
רוי:רוסישע רעוואלוציע|1619|המהפכה הרוסית (1917)|4396
רוי:לאה|1011|לאה אמנו|5601
רוי:פאלקלאר|7199|פולקלור|5693
רוי:קאנצענטראציע לאגער|2171|מחנה ריכוז|6194
רוי:אסרו חג|2734|אסרו חג|6653
רוי:אזערע|1188|אגם|6832
רוי:אקעאניע|2444|אוקיאניה|6887
רוי:עטנישע גרופע|345|אתניות|7130
רוי:קליידונג|1429|ביגוד|7280
רוי:נביאים|4262|נביאים|7505
רוי:קלימאט|5745|אקלים|7917
רוי:ביזנעס|857|עסק|8406
רוי:געאמעטריע|19920|גאומטריה|8770
רוי:דרום אמעריקע|16660|אמריקה הדרומית|9079
רוי:אדם הראשון|2049|אדם הראשון|9284
רוי:פאגראם|2715|פוגרום|9383
רוי:רעגירונג|1650|ממשלה|9422
רוי:צפון אמעריקע|18950|אמריקה הצפונית|9488
רוי:עמאנציפאציע|516|אמנציפציה|9821
רוי:פייער|1788|אש|9882
רוי:שמונה עשרה|3451|תפילת שמונה עשרה|9930
רוי:ארקטיק|2304|האזור הארקטי|10208
רוי:עראפלאן|2209|מטוס|10347
רוי:וועלט|12629|העולם|10448
רוי:קולטור|1167|תרבות|10823
רוי:צום גדליה|4143|צום גדליה|10913
רוי:רבקה|636|רבקה אמנו|10937
רוי:סטאטיסטיק|2331|סטטיסטיקה|11166
רוי:ים|2003|ים|11839
רוי:מלחמה|3636|מלחמה|12299
רוי:שטערן|1263|כוכב|12996
רוי:שרה|1241|שרה אמנו|13000
רוי:שמאי הזקן|5597|שמאי הזקן|13252
רוי:פערסישע אימפעריע|2739|ממלכת פרס|13546
רוי:ציוויליזאציע|2552|ציוויליזציה|13940
רוי:צעל|19663|תא|14023
רוי:אזיע|17239|אסיה|14132
רוי:התאחדות הרבנים|3181|התאחדות הרבנים דארצות הברית וקנדה|14268
רוי:קאלאניאליזם|1747|קולוניאליזם|14377
רוי:תלמוד תורה|2193|תלמוד תורה|14870
רוי:פסח שני|1425|פסח שני|14918
רוי:קריאת שמע|947|קריאת שמע|15035
רוי:אלישע בן אבויה|17864|אלישע בן אבויה|15151
רוי:געאגראפיע|16845|גאוגרפיה|15194
רוי:סנחריב|1413|סנחריב|15269
רוי:עשרה בטבת|6906|עשרה בטבת|15560
רוי:שטאט|1432|עיר|16018
רוי:שביעי של פסח|4897|שביעי של פסח|16160
רוי:אביי|8884|אביי|16479
רוי:אחרונים|1149|אחרונים|16844
רוי:קנאות|1147|קנאים (בית שני)|17146
רוי:געזעלשאפט (סאציאלאגיע)|1915|חברה (סוציולוגיה)|17254
רוי:ענערגיע|2578|אנרגיה|17362
רוי:סיקריקים|1865|סיקריים|17472
רוי:שבעה עשר בתמוז|2131|שבעה עשר בתמוז|17543
רוי:אוניווערס|2837|היקום|17550
רוי:בוך|1626|ספר|17681
