יידיש|עברית|גרויס|פארשפארט|שטאפל
רוי:עירובין|עירוב (פירושונים)|188||0
רוי:יבנה באן סטאנציע|תחנת הרכבת יבנה|227||0
רוי:טישו|טישו|363||0
רוי:חוש|חוש (פירושונים)|474||0
רוי:מוסד|מוסד|475||0
רוי:שמעון נתן נטע בידערמאן|שמעון נתן נטע בידרמן|484||0
רוי:15|15|607||1
רוי:16|16|607||1
רוי:22|22|607||1
רוי:28|28|607||1
רוי:טאנגא (באדייטן)|טנגו (פירושונים)|618||0
רוי:5|5|624||1
רוי:19|19|627||1
רוי:הארי פאטער (באדייטן)|הארי פוטר (פירושונים)|632||0
רוי:דעיוויד קוק|דייוויד קוק|636||
"רוי:יארן ג'תת""ק - ג'תתקצ""ט"|"שנים עבריות ג'תת""ק - ג'תתקצ""ט"|641||1
רוי:29|29|645||1
רוי:21|21|649||1
"רוי:יארן ד' אלפים - ד'צ""ט"|"שנים עבריות ד' אלפים - ד'צ""ט"|657||1
רוי:שמות|שמות (פירושונים)|665||0
רוי:רבי אברהם יעקב פרידמאן (באדייטן)|אברהם יעקב מסדיגורה|691||0
רוי:נפתלי הורוויץ (באדייטן)|נפתלי הורוביץ|699||0
רוי:31|31|699||1
רוי:ברוך האגער (באדייטן)|ברוך הגר (פירושונים)|701||0
רוי:14|14|710||1
רוי:ברוסטקאסטן|כלוב הצלעות|736||2
רוי:7|7|756||1
רוי:אריה לייביש האלבערשטאם (באדייטן)|אריה לייבוש הלברשטאם|768||0
"רוי:יארן ב'תת""ק - ב'תתקצ""ט"|"שנים עבריות ב'תת""ק - ב'תתקצ""ט"|794||1
רוי:17|17|810||1
רוי:10|10|819||1
רוי:2|2|829||1
רוי:ארגאן|איבר (פירושונים)|844||0
רוי:כנען|כנען (פירושונים)|847||0
"רוי:יארן ג'ת' - ג'תצ""ט"|"שנים עבריות ג'ת' - ג'תצ""ט"|856||1
רוי:פראגראם|תוכנית|858||0
רוי:20|20|861||1
רוי:אייער ליקער|אדבוקט (ליקר)|864||
רוי:קארע|קליפה (בוטניקה)|865||2
רוי:נאכט העמד|כתונת לילה|866||2
רוי:6|6|876||1
רוי:פלאס|פלוס|878||0
רוי:פלאנצן אנאטאמיע|אנטומיה של הצמח|883||2
רוי:26|26|888||1
רוי:משה האגער|משה הגר (פירושונים)|898||0
רוי:שול פון בעזאנסאן|בית הכנסת הגדול של בזאנסון|901||3
רוי:25|25|903||1
רוי:האגווארץ|הוגוורטס|919||
רוי:שטודיע|סטודיו (פירושונים)|925||0
"רוי:יארן ב'ת""ת - ב'תתצ""ט"|"שנים עבריות ב'ת""ת - ב'תתצ""ט"|925||1
רוי:נפתלי האלבערשטאם (באדייטן)|נפתלי הלברשטאם|944||0
רוי:לאזשבאן|לוז'באן|947||3
רוי:ירמיהו (באדייטן)|ירמיהו (פירושונים)|966||0
רוי:פעטוטשיני|פטוצ'יני|966||
רוי:הצלה|הצלה|967||0
רוי:גערער רבי|"האדמו""ר מגור"|969||0
רוי:זשארזשיע|ג'ורג'יה (פירושונים)|998||0
"רוי:ט""ז סיון"|"ט""ז בסיוון"|998||1
רוי:יוסטאן באן סטאנציע|תחנת יוסטון|1004||
רוי:יארצענדלינג|עשור|1028||2
רוי:געאגראף|גאוגרף|1030||2
רוי:מידיע|מדיה|1032||0
רוי:30|30|1040||1
רוי:אבזערוואציע פונעם טאל|בניין מירנטה דו ולה|1042||
רוי:300 (נומער)|300 (מספר)|1057||1
רוי:דראשקע|כרכרה|1061||2
רוי:23|23|1064||1
רוי:מומע|דודה (משפחה)|1072||2
"רוי:י""ז כסלו"|"י""ז בכסלו"|1079||1
רוי:אלטינא אראנטעס בנין|בניין אלטינו ארנטס|1079||
רוי:וויספע|איון (גאוגרפיה)|1084||2
רוי:באר (באדייטן)|באר|1094||0
רוי:קובישער מעטער א סעקונדע|מטר מעוקב לשנייה|1102||2
רוי:שלמה זלמן אולמאן|שלמה זלמן אולמן|1103||0
רוי:תרומה|תרומה (פירושונים)|1108||0
רוי:גראזשניידער|מכסחת דשא|1114||2
