נאמען|וויקיס|גרויס
147|119|453
266|117|453
277|118|454
89|123|517
65|122|517
62|122|517
85|120|517
75|120|517
72|119|517
86|118|517
63|118|517
59|118|517
82|117|517
83|116|517
98|122|518
74|119|518
68|127|520
54|124|520
221|121|524
216|121|524
202|121|524
316|120|524
254|120|524
225|120|524
224|120|524
264|119|524
237|119|524
215|119|524
195|119|524
194|119|524
152|119|524
352|118|524
319|118|524
318|118|524
228|118|524
227|118|524
196|118|524
357|117|524
343|117|524
334|117|524
324|117|524
302|117|524
294|117|524
293|117|524
286|117|524
278|117|524
262|117|524
247|117|524
353|116|524
322|116|524
299|116|524
289|116|524
288|116|524
261|116|524
246|116|524
358|115|524
348|115|524
327|115|524
312|119|525
305|119|525
226|119|525
326|116|525
179|118|526
148|119|528
139|122|530
116|122|530
109|122|530
107|122|530
124|121|530
166|120|530
156|120|530
128|120|530
182|119|530
153|119|530
123|119|530
191|118|530
178|118|530
176|118|530
164|118|530
163|118|530
158|118|530
157|118|530
149|118|530
134|118|530
143|117|530
126|121|531
138|119|531
186|118|531
145|118|531
103|123|543
272|121|551
141|119|557
104|122|559
243|118|559
76|121|576
122|121|577
12|134|578
291|118|579
285|118|580
335|117|586
208|121|588
212|120|588
108|122|590
336|118|590
21|130|592
279|114|592
183|118|593
3|143|594
105|125|595
283|121|595
354|119|597
296|118|598
276|118|599
232|117|599
342|116|599
198|118|601
295|117|605
275|118|606
206|119|607
267|116|610
328|118|611
315|117|611
207|120|612
203|121|614
239|119|614
236|119|614
11|134|615
33|126|617
87|121|617
91|119|617
292|116|617
22|128|619
28|127|619
27|127|619
45|124|619
90|122|619
173|120|619
41|130|620
39|125|620
35|123|620
219|120|621
192|122|624
15|136|625
16|132|625
146|119|625
346|115|628
112|122|630
142|120|631
159|118|632
345|117|634
213|118|636
71|119|640
287|117|641
24|128|643
222|126|643
184|119|643
175|120|649
347|117|649
29|127|650
111|120|650
333|117|650
217|123|651
245|116|651
64|124|652
332|116|654
106|125|655
337|123|656
185|119|656
102|127|658
131|118|658
154|120|660
350|119|661
323|117|661
167|120|662
263|118|662
88|121|664
172|118|664
210|121|665
187|118|669
205|123|670
314|120|672
310|118|672
331|116|674
274|119|675
189|119|676
140|125|678
168|119|678
97|121|679
121|121|679
135|120|679
151|118|684
273|118|686
297|116|688
119|123|689
32|124|690
84|117|694
351|117|697
161|120|699
38|125|700
311|119|702
269|118|702
125|123|706
344|115|707
5|146|708
13|135|713
329|118|713
127|122|714
242|119|715
338|116|715
171|118|720
307|119|723
14|134|725
101|124|725
61|119|730
181|119|732
117|126|734
177|119|735
193|123|736
259|117|736
47|121|738
258|117|738
150|123|740
325|120|742
211|119|744
220|122|746
55|122|753
339|117|755
280|119|756
155|119|757
100|130|761
165|120|762
80|119|763
7|142|770
218|121|772
57|119|772
130|124|775
321|119|779
174|118|779
248|116|780
170|124|786
249|116|790
255|116|791
188|121|792
118|123|793
129|122|794
265|117|807
356|118|812
113|119|815
36|124|818
317|117|818
235|120|822
223|119|822
298|119|823
17|135|827
330|122|827
10|135|830
94|118|836
355|117|841
.az|117|845
115|122|855
137|120|865
244|116|869
120|129|871
308|119|871
20|133|873
110|124|876
66|123|894
341|117|901
96|122|927
201|122|927
25|128|929
197|121|933
340|119|1000
46|123|1001
301|126|1002
238|121|1003
18|132|1011
229|119|1012
56|119|1014
268|117|1015
78|118|1018
313|121|1020
48|121|1026
77|117|1029
73|121|1037
300|122|1038
23|129|1043
169|119|1054
251|119|1056
53|120|1058
26|128|1059
252|116|1061
257|118|1064
253|119|1072
160|120|1082
240|124|1084
209|120|1093
214|118|1097
204|120|1100
92|119|1100
256|118|1100
42|124|1101
271|118|1102
144|117|1114
34|125|1122
עשור|117|1125
190|120|1129
קילומטר רבוע|127|1151
67|121|1151
44|124|1157
260|119|1157
136|120|1162
241|118|1166
234|118|1168
99|121|1174
282|117|1183
40|125|1184
31|125|1191
69|124|1195
320|119|1196
132|120|1199
2|146|1203
37|129|1236
6|144|1242
43|125|1243
180|123|1243
114|119|1245
81|120|1263
199|119|1263
200|124|1271
303|120|1273
290|117|1277
19|131|1286
133|121|1302
9|140|1308
233|118|1314
349|116|1314
231|119|1315
304|120|1344
93|117|1354
306|117|1359
מרכז אירופה|129|1366
162|119|1380
שיר|145|1404
79|125|1474
270|123|1517
30|131|1538
שפתיים|119|1560
250|120|1576
230|121|1611
חתול רע|122|1767
58|119|1811
בנגלית|167|1854
ספטמבר|255|1868
50|125|1880
קאנדה|116|1888
284|118|1898
49|122|1925
מאי|254|1960
סנט ג'ונס|115|1968
שלום (כתב עת)|122|1975
מערב|154|1980
קילומטר|121|2002
281|116|2009
535|119|2010
ארארה|122|2011
671|118|2031
אלמסאן|167|2045
60|121|2046
654|119|2049
494|114|2049
381|117|2086
איטרזן|222|2089
1016|132|2090
959|128|2091
986|129|2092
921|127|2092
948|127|2093
454|117|2093
438|115|2093
937|130|2094
910|130|2094
842|130|2094
815|127|2094
956|126|2094
568|116|2094
834|125|2095
700|125|2095
370|117|2095
899|130|2096
918|128|2096
907|127|2096
812|127|2096
964|126|2096
823|126|2096
704|120|2096
508|116|2096
435|116|2096
506|115|2096
864|129|2097
742|124|2097
571|120|2097
552|118|2097
533|117|2097
419|114|2097
953|130|2098
991|129|2098
934|129|2098
942|128|2098
926|127|2098
902|127|2098
885|125|2098
723|118|2098
459|118|2098
693|116|2098
514|116|2098
467|116|2098
853|125|2099
769|121|2099
495|117|2099
804|127|2100
861|126|2100
872|125|2100
766|122|2100
625|120|2100
709|119|2100
606|119|2100
549|119|2100
682|117|2100
492|117|2100
421|116|2100
394|116|2100
383|116|2100
372|116|2100
503|115|2100
429|115|2100
522|114|2100
413|114|2100
1928|193|2101
850|128|2102
652|120|2102
364|120|2102
736|118|2102
576|117|2102
557|117|2102
519|114|2102
ג'ירף מנומר|129|2103
866|129|2104
839|126|2104
858|125|2104
771|122|2104
793|120|2104
790|120|2104
733|120|2104
706|120|2104
744|119|2104
649|119|2104
630|119|2104
527|119|2104
782|118|2104
603|118|2104
554|117|2104
546|117|2104
489|117|2104
505|116|2104
516|115|2104
543|118|2105
441|114|2107
998|129|2109
914|126|2109
903|126|2109
952|128|2111
382|116|2111
631|116|2112
996|132|2113
971|131|2113
1046|131|2113
963|130|2113
936|131|2114
990|130|2114
931|130|2114
893|130|2114
841|129|2114
974|128|2114
947|128|2114
928|128|2114
890|128|2114
925|127|2114
898|127|2114
830|126|2114
822|126|2114
817|126|2114
977|125|2114
906|125|2114
887|125|2114
779|119|2114
456|118|2114
464|116|2114
901|131|2115
865|126|2115
705|123|2115
789|121|2115
526|117|2115
515|117|2115
396|115|2116
437|114|2116
426|114|2116
1268|133|2117
648|118|2117
724|117|2117
361|120|2118
1556|146|2119
1567|143|2119
1461|140|2119
1252|135|2119
1176|132|2119
754|121|2119
624|117|2119
583|117|2119
423|115|2119
1537|142|2120
1404|141|2120
1195|132|2120
852|127|2120
874|125|2120
749|121|2120
746|121|2120
711|121|2120
708|121|2120
556|120|2120
548|120|2120
681|119|2120
697|118|2120
621|118|2120
594|118|2120
578|118|2120
537|118|2120
483|118|2120
689|117|2120
665|117|2120
608|117|2120
605|117|2120
545|117|2120
529|117|2120
469|116|2120
521|115|2120
510|115|2120
564|114|2120
559|114|2120
488|114|2120
1564|154|2121
1442|137|2121
1374|136|2121
1138|135|2121
1203|132|2121
1037|132|2121
1298|130|2121
499|115|2121
1477|146|2122
1496|142|2122
1553|141|2122
1469|141|2122
1458|141|2122
1450|139|2122
1146|131|2122
1127|131|2122
1116|128|2122
1561|146|2123
1504|146|2123
1420|139|2123
1048|132|2123
1937|195|2124
1542|149|2124
1485|144|2124
1466|141|2124
1157|135|2124
1279|132|2124
1081|132|2124
1436|139|2125
1405|139|2125
1208|132|2125
1550|148|2126
1474|140|2126
1417|137|2126
1070|132|2126
1493|143|2127
1512|141|2127
1455|141|2127
1447|138|2128
1284|135|2128
1143|131|2129
1936|196|2130
695|120|2131
1964|199|2136
1449|138|2136
1045|129|2137
1568|144|2139
1226|134|2139
1275|135|2140
1131|133|2140
1283|131|2140
447|115|2140
1473|145|2141
1511|143|2141
1425|135|2141
1248|135|2141
1205|135|2141
1278|134|2141
1235|133|2141
1197|133|2141
1286|132|2141
1180|131|2141
1178|131|2141
1186|130|2141
1183|130|2141
1506|150|2142
1571|149|2142
1577|148|2142
1547|148|2142
1552|147|2142
1541|147|2142
1533|147|2142
1503|147|2142
1549|146|2142
1536|146|2142
1525|146|2142
1566|145|2142
1471|145|2142
1574|144|2142
1509|144|2142
1560|143|2142
1484|143|2142
1579|142|2142
1522|142|2142
1498|142|2142
1482|142|2142
1419|142|2142
1430|141|2142
1495|140|2142
1465|139|2142
1463|139|2142
1411|139|2142
1389|139|2142
1457|138|2142
1454|138|2142
1433|138|2142
1422|138|2142
1438|137|2142
1381|137|2142
1273|135|2142
1292|132|2142
1167|132|2142
1327|131|2142
1156|130|2142
1490|146|2143
1416|141|2143
1446|140|2143
1254|140|2143
1403|139|2143
1427|138|2143
1373|134|2143
1245|132|2143
1199|130|2143
1069|130|2143
1289|129|2143
975|127|2143
1216|132|2144
1161|131|2144
1153|133|2145
1137|133|2145
1164|131|2145
1142|131|2145
1121|129|2145
1077|132|2146
1072|129|2146
דקה|134|2151
760|121|2151
דונג הוי|213|2152
1977|195|2152
978|127|2152
1007|131|2153
1222|136|2156
424|115|2157
502|116|2159
457|118|2160
1435|137|2166
מו אגנס|143|2167
752|121|2167
1214|132|2169
1124|131|2170
1534|145|2171
938|128|2171
984|127|2171
919|127|2171
908|127|2171
973|130|2172
915|128|2172
891|125|2172
587|118|2172
1173|130|2173
992|128|2173
935|127|2173
927|126|2173
821|125|2173
368|117|2173
417|116|2173
398|115|2173
840|130|2174
449|115|2174
946|126|2175
753|121|2175
566|115|2175
949|127|2176
832|126|2176
916|125|2176
573|116|2176
905|127|2177
829|127|2177
837|126|2177
501|119|2177
615|117|2177
577|117|2177
539|117|2177
387|116|2177
1028|131|2178
1119|130|2178
924|128|2178
877|128|2178
876|127|2178
894|126|2178
886|125|2178
720|119|2178
452|118|2178
1130|134|2179
1094|134|2179
802|127|2179
892|126|2179
859|126|2179
835|126|2179
816|126|2179
783|122|2179
726|119|2179
699|118|2179
460|118|2179
455|117|2179
490|116|2179
422|116|2179
995|128|2180
569|117|2180
1287|132|2181
582|119|2181
509|117|2181
854|124|2182
758|121|2182
772|120|2182
544|117|2182
379|117|2182
436|115|2182
896|129|2183
590|119|2183
563|115|2183
517|115|2183
970|129|2184
806|127|2184
856|123|2184
498|119|2184
384|119|2184
574|117|2184
593|115|2184
365|115|2184
487|114|2184
810|134|2185
601|120|2185
555|119|2185
734|118|2185
611|118|2185
626|117|2185
620|117|2185
588|117|2185
493|117|2185
696|116|2185
512|115|2185
1194|136|2186
881|126|2186
848|125|2186
735|120|2186
550|119|2186
653|118|2186
579|118|2186
979|128|2187
701|127|2187
674|120|2187
560|118|2187
941|130|2188
458|117|2188
666|118|2189
945|126|2190
409|115|2190
801|128|2191
659|118|2191
884|126|2192
917|125|2192
647|118|2192
638|117|2192
572|117|2192
466|117|2192
388|117|2192
1955|198|2193
662|118|2194
667|117|2194
846|127|2195
983|129|2196
1132|131|2197
690|118|2197
1354|133|2198
819|125|2198
774|119|2198
580|119|2198
523|117|2198
599|115|2198
485|115|2198
1288|134|2199
1231|134|2199
1049|133|2199
1535|146|2200
1528|146|2200
1429|142|2200
1259|134|2200
360|117|2200
1285|133|2201
673|120|2201
1483|150|2202
1518|145|2202
1513|142|2202
1276|133|2202
1184|130|2202
380|117|2202
1494|144|2203
1277|133|2203
1076|131|2203
1570|145|2204
