יידיש,עברית,גרויס,פארשפארט,שטאפל
רוי:מדרש אגדה (באבער),מדרש אגדה (בובר),1452,,
רוי:בלוט צעל,תא דם,1478,,
רוי:סדר עולם זוטא,סדר עולם זוטא,1540,,
רוי:ילקוט המכירי,ילקוט המכירי,1595,,
רוי:רבי אלעאי,רבי אלעאי (תנא),1679,,
רוי:כוש (זון פון חם),כוש בן חם,1699,,
רוי:סעמיהאלי,סמיהאלי,1717,,
רוי:בן הא הא,בן הא הא,1799,,
רוי:רבי שמעון בר אבא,רבי שמעון בר אבא,1802,,
רוי:ברכי יוסף,ברכי יוסף,1846,,
רוי:פאקטאריזאציע,פירוק לגורמים,1889,,
רוי:רבי מרדכי דוד הורוויץ,מרדכי דוד הורוביץ,1911,,
רוי:רבי אריה לייביש האלבערשטאם (קשאנאוו),אריה לייבוש הלברשטאם (דוקלה),1937,,
רוי:ישראל הורוויץ (מעליץ),ישראל הורוביץ (מעליץ),1989,,
רוי:מעכאניק,מכניקה,2112,,
רוי:רבי אלימלך ווייסבלום,אלימלך ויסבלום (רודניק),2144,,
רוי:תינוקות של בית רבן,תינוקות של בית רבן,2160,,
רוי:רבי יעקב דוד קאליש (דער צווייטער),יעקב דוד קאליש (השני),2171,,
רוי:יומי דפגרא,יומי דפגרא,2213,,
רוי:היכל,ההיכל,2221,,
רוי:רבי משולם זוסיא אווערבאך,משולם זושא אוירבך,2230,,
רוי:רעאלער אנאליז,אנליזה ממשית,2246,,
רוי:קאני איילענד,קוני איילנד,2250,,
רוי:גאלדן בערי,שלפח,2325,,
רוי:רבי יהודה אונגאר,יהודה אונגר,2351,,
רוי:גאלדערס גרין,גולדרס גרין,2376,,
רוי:רבי אבי עזרא זעליג שפירא,אבי עזרא זליג שפירא,2387,,
רוי:למך,למך בן מתושלח,2400,,
רוי:וויליאמסבורג בריק,גשר ויליאמסבורג,2441,,
רוי:קענווי אינזל,קאנוויי איילנד,2476,,
רוי:מסכת מעשר שני,מסכת מעשר שני,2482,,
רוי:רבי חיים בצלאל פאנעט,חיים בצלאל פנט,2484,,
רוי:מסכת תרומות,מסכת תרומות,2509,,
רוי:רבי דוד טעבלי שיף,דוד שיף,2524,,
רוי:מסכת מעשרות,מסכת מעשרות,2526,,
רוי:רבי אליעזר בנו של רבי יוסי הגלילי,רבי אליעזר בן רבי יוסי הגלילי,2538,,
רוי:רבי יעקב יצחק ניימאן,יעקב יצחק ניימן,2546,,
רוי:שליו,שליו,2558,,
רוי:סקולען,סקולני,2591,,
