ארטיקל|גרויס|ערך|גודל
רוי:תרח|1448|תרח|3075
רוי:פרעה|665|פרעה|3584
רוי:לאה|1011|לאה אמנו|5601
"רוי:ט""ו בשבט"|2905|"ט""ו בשבט"|5757
רוי:בניהו בן יהוידע|682|בניהו בן יהוידע|6234
רוי:תרי עשר|2216|תרי עשר|6235
רוי:ג|1147|ג|6294
רוי:השארת הנפש|1602|הישארות הנפש|6330
רוי:טריפה|1316|טריפה|7616
רוי:תרגום יונתן|960|תרגום התורה המיוחס ליונתן|8201
רוי:חנניה מישאל ועזריה|813|חנניה, מישאל ועזריה|8753
רוי:אורח חיים|1422|אורח חיים (שולחן ערוך)|9119
רוי:לולב|2323|לולב|10100
רוי:שלש רגלים|1473|שלוש רגלים|10712
רוי:צום גדליה|4143|צום גדליה|10913
רוי:רבקה|636|רבקה אמנו|10937
רוי:חסד|522|גמילות חסדים|11188
רוי:זכריה הנביא|522|זכריה הנביא|11193
רוי:ימים נוראים|3927|ימים נוראים|11701
רוי:תשליך|1774|תשליך|12115
רוי:שמאי הזקן|5597|שמאי הזקן|13252
רוי:יהודה בן טבאי|3236|יהודה בן טבאי|13255
רוי:תלמוד תורה|2193|תלמוד תורה|14870
רוי:ישעיהו|1728|ישעיהו|15015
רוי:קריאת שמע|947|קריאת שמע|15035
רוי:אביי|8884|אביי|16479
רוי:אחרונים|1149|אחרונים|16844
רוי:לשון הרע|1604|לשון הרע|16925
רוי:ספר עובדיה|1368|עובדיה|17036
רוי:מעריב|2207|תפילת ערבית|17175
רוי:שלחן ערוך|4063|שולחן ערוך|17564
רוי:מסילת ישרים|3125|מסילת ישרים|17619
רוי:מוסר|1919|מוסר|18223
רוי:ליטוואקעס|1457|ליטאים (זרם)|18454
רוי:תענית|2492|תענית|18561
רוי:ירבעם בן נבט|2083|ירבעם בן נבט|18669
רוי:איוב|1238|איוב|18793
רוי:מוקצה|3483|מוקצה|18957
רוי:ציצית|2560|ציצית|18972
רוי:יצחק אבינו|961|יצחק אבינו|19115
רוי:אמציה|472|אמציה|19156
רוי:לכה דודי|1799|לכה דודי|19205
רוי:שמיני עצרת|1393|שמיני עצרת|19439
"רוי:רי""ף"|2290|"רי""ף"|19457
רוי:פרוזבול|2341|פרוזבול|19581
רוי:תרומה גדולה|4284|תרומה גדולה|20236
רוי:מנהג|2561|מנהג (הלכה)|20472
